name,family name,gender,country,birth year
Luggi,Rettenbacher,M,AT,2007
Nevres-Dzemila,Hasic,,AT,1992
Petra,Hartlieb,F,AT,2007
Manfred,Moser,M,AT,1992
Max,Power,,AT,1943
Renate,Jäger,F,AT,1992
Mirsad,Celikovic,M,AT,1992
Osas Emos,Sanni,F,AT,1992
Ümit Kevser,Kılıçer,M,AT,1958
Victoria,Glaser,F,AT,1943
Stefan,Schneider,M,AT,2001
Uschi,Burgstaller,F,AT,1992
Ata,Ataberk,M,AT,2001
Patrick,Hafner,M,AT,1958
Gabriela,Mayr,F,AT,1992
Günther,Bürger,M,AT,1943
Mirsad,Halilovic,M,AT,2007
Oliver,Peherstorfer,M,AT,1992
Florian,Schwaighofer,M,AT,1943
Lapcevic,Dragomir,M,AT,1992
Eva,Weickenkas,F,AT,1992
Hümeyra,Ekiz,F,AT,1943
Mansor,Khalid,M,AT,1992
Augustin,Birnstigl,M,AT,2007
Daniel,Pendes,M,AT,2007
Fred,Spreitzer,M,AT,1992
Martin,Kraxner,M,AT,1943
Berti,Rausch,,AT,1958
Rudolf,Striessnig,M,AT,1943
Noah,Leitenbauer,M,AT,1958
Jaqueline,Siqueira Schuller,F,AT,1943
Maxim,Brabenec,M,AT,1943
Alexander,Prischl,M,AT,2001
Marcel,Glabutschnig,M,AT,2001
Jonas,Franzrobert,M,AT,1943
Katharina,Lampl,F,AT,1992
Ilhami,Yilmaz,M,AT,1943
Manuel,Haselmaier,M,AT,1943
Christian,Kircherer,M,AT,1992
Niki,Pommes,,AT,1943
Martina,Bouzina,,AT,1943
Ana,Petrovic,F,AT,1992
Ingrid,Weiß,F,AT,1958
Alex,Simonlehner,M,AT,1943
Duki,Ilic,M,AT,1992
Heinzl,Man,M,AT,2007
Barbara,Benc,F,AT,1992
Inna,Semiokhina,F,AT,1992
Margit,Lindner,F,AT,1958
Claudia,Filzmoser,F,AT,1992
Matthias,Saurwein,M,AT,1943
Nico,Weninger,M,AT,1943
Markus,Weber,M,AT,1943
Patrick,Hinterberger,M,AT,1943
Marusja,Jakobs,M,AT,1992
Renate,Steiner-Thrackl,F,AT,1992
Julius,Sommer,M,AT,1943
Sybille,Schmidinger,,AT,2007
Barbara,Zajicek,F,AT,1992
Bruno,Kerschbaumer,M,AT,1943
Leopold,Schiefer,M,AT,1992
Mirjam,Van Der Zwaard,F,AT,1943
Josef,Angleitner,M,AT,1992
Marco,Duzi,M,AT,1943
Manuel,Enze,M,AT,2001
Michael,Wilfinger,M,AT,1958
Wilhelm,Leinweber,M,AT,1992
Lena,Gimpl,F,AT,2001
Olivera,Djokic,,AT,2007
Ömer,Yavuz,M,AT,1943
Constantin,Horst,M,AT,1992
Christoph,Putz,M,AT,2001
Hayal,Ilsiz,F,AT,1943
Maria,Stojanovic,F,AT,1992
Claudia,Lang,F,AT,1992
Christina,Al-Kiswini,,AT,1992
Carmen,Ortega,F,AT,1943
Christine,Fischer,F,AT,1958
Davor,Duran,M,AT,1992
Karan,Jani,M,AT,1992
Luca,Alina,F,AT,1992
Roland,Gautsch,M,AT,1943
Mustafa,Akkan,M,AT,1958
Stephan,Budilek,M,AT,1992
Catherine,Asengua,,AT,2007
Zeljko,Barbic,M,AT,1958
Sonja,Pa,F,AT,2007
Lilly,Warhanek,F,AT,2001
Martin,Pongritz,M,AT,1992
Helga,Stutteregger,F,AT,1992
Marinela,Gonciulea,F,AT,1958
Patrick,Prinz,M,AT,1992
Malkiq,Avstriez,M,AT,2001
Martha,Prantner,F,AT,1958
Gerhard,Mark,M,AT,1943
Tobi,Melbinger,M,AT,2007
Aurelian,Manea,M,AT,1992
Fritz,Zettl,M,AT,1992
Ch,Flashman,F,AT,1992
Marcel,Oppenauer,M,AT,1958
Hakan,Bugurcu,M,AT,2001
Christoph,Prutti,M,AT,1992
Gerhard,Winter,M,AT,2001
Selina,Riegler,,AT,2007
Danijela,Jovanovic,F,AT,1992
Evita,Passath,F,AT,2001
Claudia,Mairinger,F,AT,1958
Christian,Kerschbaumer,M,AT,1943
Gabriella,Halbeisen,,AT,1992
Dusica,Ilic,M,AT,1958
Lisa,Schuster,F,AT,1992
Ibrahim,Celik,,AT,1958
Karoline,Kröpfl,F,AT,1992
Josef,Scherer,M,AT,2001
Valentina,Dohr,F,AT,1943
Martin,Witzlsteiner,M,AT,1992
Sylvia,Bräuer,F,AT,2007
Sonja,Ecker,F,AT,1992
Sylvia,Michtner,F,AT,1992
Edith,Frank,F,AT,1992
Gerd,Puschitz,,AT,1992
Sihdi,Einsiedler,M,AT,1958
Julia,Schrattenecker,,AT,1943
Wolfgang,Ecker,M,AT,1992
Gerhard,Wagner,M,AT,2001
Kar,In,F,AT,1992
Sabine,Huber,F,AT,1992
Fabian,Auer,M,AT,1992
Kai,Kaserbacher,,AT,1992
Emilia,Gyorgylorincz,F,AT,2007
Deniz,Yildirim,M,AT,1992
Niki,Meier,M,AT,1958
Andrea,Steger,F,AT,1943
Kelvin,Chester,M,AT,2007
Zert,El,M,AT,1992
Sibylle,Roider,F,AT,2001
Heidi,Berger,F,AT,2007
Dragisca,Rakulic,M,AT,2007
Jürgen,Ungerböck,M,AT,1992
David,Schmiedhofer,M,AT,2007
Slavoljub,Andjelkovic,M,AT,1992
Aaron,Grb,,AT,2001
Jasmin,Pumberger,,AT,1958
Thomas,Frank,M,AT,1943
Karin,Pfabigan,F,AT,1943
Nadine,Aigner,F,AT,1958
Sarah,Pollit,F,AT,1943
Michael,Schönfelder,M,AT,1943
Stefan,Strohmer,M,AT,1992
Katharina,Lackner,F,AT,1943
Gerfried,Klavora,M,AT,1992
Margit,Wurmböck,F,AT,1943
Kasim,Özkan,M,AT,1992
Mathias,Moser,M,AT,1992
Daniela,Da Stilo,F,AT,1958
Никола,Илић,M,AT,2001
Amina,Matouk,F,AT,1943
Judith,Fürst,F,AT,1943
Stickler,Rudolf,M,AT,2007
Sun,Ny,F,AT,1992
Gregor,Joachim,M,AT,1943
Weber,Günter,M,AT,1958
Johannes,Pogats,M,AT,1992
Erion,Aliji,M,AT,1958
Gamal,Ahmad,M,AT,1992
Mariza,Stern,F,AT,2007
Dominic,Grutsch,M,AT,1992
Mohammed,Qassem,M,AT,2007
Manfred,Huber,,AT,1992
Gerlinde,Hutterer,F,AT,2007
Princ,Kimi,M,AT,1992
Isualk,Relhcip,,AT,1992
Daniel,Grgic,M,AT,2007
Sandra,Rammel,F,AT,1943
Anja,Schmid,,AT,1943
Luana,Ciraci,F,AT,1992
Raphaela,Bitsche,F,AT,1992
Verena,Horvath,F,AT,1992
Waltraud,Repnik,F,AT,1992
Klaus,Bittermann,M,AT,1943
Karin,Kofler,F,AT,1943
Alexander,Marandidis,M,AT,1943
Sigi,La,F,AT,2007
Sascha,Ck,M,AT,1943
David,Daxer,M,AT,1992
Selim Ebru,Uslu,,AT,1943
Patrick,Auer,,AT,1943
Angela,Hofstaedter,F,AT,1943
Herbert,Frohnwieser,,AT,1992
Sebastian,Secco,M,AT,1992
Gabriela,Kostadinova,F,AT,2001
Markus,Brader,M,AT,1958
Norbert,Tari,M,AT,1992
Erich,Braunshier,M,AT,1992
Christoph,Peinsipp,M,AT,2007
Mario,Karner,M,AT,1958
Maria,Alhomse,F,AT,2007
Krisztina,Molnár,F,AT,1943
Gabriele,Marl,F,AT,2007
Lynne,Williams,,AT,1958
Eduardo,Sejdini,M,AT,1992
Hanni,Mayer,F,AT,2001
Christina,Frühwirth,F,AT,1943
Richard,Hruska,M,AT,1943
Franz,Hausberger,M,AT,1992
Rodica,Tudor,F,AT,1958
Jürgen,Postruznik,M,AT,1943
Philipp,Schafzahl,M,AT,2007
Gerald,Wahl,M,AT,1943
Jelena,Mitrovic,F,AT,1943
Ayup,Aktan,M,AT,1958
Mladenka,Ametovic,,AT,1992
Tunchan,Kartal,M,AT,1992
Florian,Linsbichler,M,AT,1992
Andreas,Szopek,M,AT,1992
Kaar,Peter,M,AT,1992
Stefan,Laubichler,M,AT,1992
Erwin,Leitner,,AT,1958
Lara,Jovanovic,F,AT,1992
Robert,Lanzl,M,AT,2007
Otto,König,M,AT,2007
Marianne,Bauerecker,F,AT,2001
Ursula,Tröscher,F,AT,2007
Hari,Dedic,M,AT,1992
Luki,Zusser,M,AT,1958
Verena,Gschiel,F,AT,1943
Utan,Utan,M,AT,1992
Sasa,Marinkovic,M,AT,1958
Erich,Wenger,M,AT,1992
Mehdi,Hosseini,M,AT,1958
Sanna,Sailer,F,AT,1992
Brankica,Adamovic,F,AT,1992
Ayten,Yarar,F,AT,1992
Gabi,Mende,F,AT,2001
Bernadette,Faltejsek,F,AT,1992
Sabine,Heidekum,F,AT,1992
Bianca,Norbertsson,F,AT,1943
Pajtim,Baxhaku,M,AT,1958
Elisabeth,Christl,,AT,2001
Thomas,Gamper,M,AT,1943
Akben,Caglar,F,AT,1943
Felix,Wegerer,M,AT,1943
Robert,Mlekus,M,AT,1943
Gabriel,Araneda,M,AT,1992
Christian,Frantz,M,AT,1943
Pance,Misevski,,AT,1992
Hakan,Yigit,M,AT,1992
Lisi,Heinzl,F,AT,1992
Martina,Reumüller,F,AT,1958
Robert,Trippolt,M,AT,1992
Sumitra,Ropele,F,AT,1943
Chris,Prieschl,M,AT,1958
Éva,Polgár,F,AT,1992
Johanna,Rusch,,AT,2007
Fjolla,Tafili,F,AT,1943
Natasa,Bajac,F,AT,1992
Jasmina,Brdaninovic,F,AT,2001
Verena,Kittl,F,AT,1992
Katharina,Meissner-Gibhart,F,AT,2007
Hermann,Schwarz,M,AT,1992
Senta,Schweiger,F,AT,2007
Patrick,Seewald-Singer,M,AT,1992
Jankin Jawish,Jawish,M,AT,1943
Gerlinde,Buchner-Flores,F,AT,1992
Barbara,Strohmeier,F,AT,1992
Doris,Holzer,,AT,2007
Erich,Slavicek,,AT,2007
Thomas,Zinz,M,AT,2007
David,Owie,M,AT,1992
Natalie,Steiner,F,AT,2007
Marcel,Pawelec,M,AT,1958
Konrad,Nußbaumer,M,AT,2007
Johanes,Mazraeh,M,AT,1992
Marlies,Strobl,F,AT,1958
Azad,Ka,M,AT,1943
Tanja,Turk,F,AT,1992
Andreas,Steblak,M,AT,2001
Michelle,Auer,F,AT,1943
Merve,Sert,F,AT,2001
Sula,Se,M,AT,1992
Sam,Boruta,M,AT,1992
Karin,Wiesenauer,F,AT,2001
Sandra,Gröstlinger,F,AT,1958
Christin,Viktoria,F,AT,1958
Kerstin,Waldhauser-Murnig,F,AT,1992
Toni,Knecht,M,AT,1958
Patricia,Katharina,,AT,1992
Bianca,Gleichweit,F,AT,2007
Oezgen,Emin,,AT,1943
Maxi,Haderer,M,AT,2007
Josef,Schneeberger,M,AT,2007
Walter,Müller,M,AT,2001
Dominik,Majko,M,AT,1992
Daniel,Pfeifhofer,M,AT,2007
Raphael,Wibmer,M,AT,2001
Anna,Steiner,F,AT,1992
Hans,Hans,M,AT,1992
Ольга,Ключенович,F,AT,1958
Leonhard,Gsaller,M,AT,1992
Jessica,Samitsch,F,AT,1992
Kyung Ran,Koch,F,AT,1943
Engelbert,Schmied,M,AT,1992
Walter,Obermair,M,AT,2007
Alex,Marchiori,M,AT,1943
Cuklc,Anita,F,AT,1992
Mircea,David,M,AT,1958
Marcel,Teuschl,M,AT,2001
Petra,Müller,F,AT,2001
Tibor,Agoston,M,AT,1992
Lisa,Kennsteh Odaa,F,AT,1992
Bastian,Berger,M,AT,1958
Mario,Zankl,M,AT,1958
Friederike,Müller-Wernhart,F,AT,1992
Cavkic,Mersad,M,AT,1958
Jakob,Dünser,M,AT,1943
Silvia,Gomez,F,AT,1992
Abdulrauf,Qadri,M,AT,1958
Maria,Färbinger,F,AT,1992
Andrea,Pfurtscheller,F,AT,1992
Gustav,Heugl,M,AT,2001
Katharina,Zöller,F,AT,1943
Markus,Gorfer,M,AT,1992
Stefan,Drolle,M,AT,1992
Maria,Brkovic,,AT,2007
Lephaka,Lephaka,,AT,1992
Theresa,Kaufmann,F,AT,2001
Roxaz,Roxaz,M,AT,1943
Gudrun,Sauseng,F,AT,2001
Wolfgang,Weiland,M,AT,2007
Arife,Degirmencioglu,F,AT,1958
Austin,Healey,M,AT,2007
Elisabeth,Martin,F,AT,1958
Joachim,Windhager,M,AT,1992
Corinna,Plasil,F,AT,1992
Anja,Petrusic,F,AT,1958
Marion,Brandstätter,F,AT,1943
Friedl,Müller,M,AT,2001
Martina,Müllner,F,AT,1992
Tobias,Höfler,M,AT,2001
Daniel,Wieser,M,AT,1992
Gertrude,Handlbauer,F,AT,1958
Josef,Brauchart,M,AT,2001
Cebrail,Rabia Yilmaz,M,AT,1943
Jokic,Dragoljub,M,AT,1992
Lisa,Gruber,F,AT,1958
Meyti,Osati,M,AT,1992
Selvedina,Mehic,M,AT,1943
Gerald,Trojnar,,AT,1943
Daniel,Samardzic,M,AT,1992
Janine,Zelger,F,AT,1992
Dagmar,Frank,F,AT,1992
Chris,Mo,M,AT,1943
Manuel,Horvath,M,AT,2007
Günter,Harley,M,AT,2001
Gabi,Reischl,F,AT,2001
Carola,Schuster,F,AT,2007
Daniel,Moser,M,AT,1958
Mirjana,Gvozdic,F,AT,1992
Theresia,Haiderer,F,AT,2007
Barukcic,Jozo,M,AT,2001
Claudia,Skodzik,F,AT,1992
Helmut,Lercher,M,AT,1992
Wendy,Van Remoortere,F,AT,2001
Siegfried,Ackerl,M,AT,1943
Bernadette,Dako,F,AT,1992
Ufuk,Özcanli,M,AT,1958
Necmi,Sevim,M,AT,1943
Sabrina,Schloffer,,AT,2007
Pöhl,Elmar,M,AT,1992
Mehdi,Mehdi,M,AT,1992
Elvin,Cora,F,AT,1992
Anna,Dragastan,F,AT,1943
Lukas,Fleissner,M,AT,1992
Matthias,Raber,M,AT,1992
Reinhard,Noisser,M,AT,1958
Safet,Susic,M,AT,1992
Elias,Chouchany,M,AT,1943
Karin,Burgschwaiger,F,AT,2007
Réka,Gabriella,F,AT,1943
Radinka,Stanisic,F,AT,1958
Mihaela,Olariu,F,AT,1958
Eva-Maria,Rohrweck,F,AT,1958
Peter,Traxler,M,AT,1992
Kurt,Krickler,M,AT,2007
Günter,Karner,M,AT,1992
Judith,Krenn,,AT,1992
Mina,Wu,F,AT,1992
Oliver,Frey,M,AT,2001
Ines,Rüdisser,F,AT,2001
Mike,Sperl,M,AT,1992
Günter,Nichtawitz,,AT,1992
Sylvia,Kreuzberger,F,AT,1943
Manuel,Schwanzer,M,AT,1992
Bettina,Ellmerer,F,AT,1992
Brigitte,Sturm,F,AT,1992
Michael,Hausberger,M,AT,2001
Christina,Dornhofer,F,AT,2001
Simon,Horowitz,,AT,1992
Ramiz Asmira,Osmankic,M,AT,1943
Manfred,Pfaffl,M,AT,2007
Leon,Jukic,M,AT,1992
Anna,Tauschmann,,AT,1943
Eva,Kaufmann,F,AT,1992
Karl-Peter,Hofbauer,M,AT,1992
Karin,Zois,F,AT,2007
Enes,Seven,M,AT,1943
Alexander,Röck,M,AT,1992
Gregor,Keindl,M,AT,2001
Daniela,Bereuter,F,AT,2007
Kosara,Jovanovic,F,AT,2001
Maria,Vorauer,F,AT,1992
Regina,Wolf,F,AT,1943
Gopii,Goopi,M,AT,1992
Gregor,Otte,M,AT,1992
Kilian,Weidinger,M,AT,2007
Christoph,Nöckler,M,AT,1992
Max,Wiesner,M,AT,1992
Na,Sching,F,AT,1992
Martina,Wittich,F,AT,1992
Manar,Eidenberger,F,AT,1992
Christine,Neuhauser,F,AT,1958
Franziska,Wilfling,F,AT,2007
Veronika,Garbeis,F,AT,1992
Movia,Tech,M,AT,1992
Walter,Feusi,M,AT,1958
Günther,Vogel,M,AT,1943
Katharina,,F,AT,1958
Künstlerei,Grundner,M,AT,1943
Nicole,Egel,F,AT,2007
Imed,Belgacem,M,AT,1943
Josef,Gamsjäger,M,AT,1992
Roman,Herbst,M,AT,1992
Hannah,Lachmann,F,AT,1992
Nicole,Karlsböck,F,AT,1958
Mohammad,Haidar,M,AT,2007
Günes,Kartal,F,AT,2007
Roman,Gartelgruber,M,AT,1992
Herbert,Gingerl,M,AT,1958
Peter,Hausleitner,M,AT,2007
Veronika,Simhofer,F,AT,2007
Christoph,Kaspar,M,AT,1943
Erich,Horngacher,M,AT,1943
Romana,Peherstorfer,F,AT,2007
Svitlana,Lehmbacher,F,AT,1992
Stefan,Pilz,M,AT,2001
Martin,Schörghofer,M,AT,1943
Dorel,Dorel,M,AT,2007
Julia,Schrattenecker,F,AT,1992
Nenad,Isakov,M,AT,1992
Sebastian,Mörtenschlag,,AT,1958
Andreas,Rauch,M,AT,2007
Sabine,Kühnel,F,AT,2001
Ali,Demircioglu,M,AT,1992
Ratko,Markovic,M,AT,1992
Tamara,Hobel,,AT,1992
Wolfgang,Holzer,M,AT,1958
Selina,Ibov,F,AT,1992
Marchelo,Enisito,M,AT,2007
Manuel,Meißl,M,AT,2001
Renate,Stieger,F,AT,1943
Gabriel,Pancis,M,AT,1958
Wolfgang,Garber,M,AT,2001
Songul,Tokat,F,AT,1992
Kristina,Zrawhcs,F,AT,1958
Anna,Pusch,F,AT,1992
Martina,Felkl,F,AT,1992
Isabella,Großschädl,F,AT,1992
Lara,Dario,F,AT,1943
Yaroslava,Suhaya,F,AT,1992
Benjamin,Gasser,M,AT,1992
Margit,Huß,F,AT,1992
Menekse,Akalin,F,AT,1992
Gerald,Höfler,M,AT,1958
Engin Gülüm,Gülüm,M,AT,2001
Christine,Wald,F,AT,1992
Asli,Demir,F,AT,2007
Stefanie,Semmelmeyer,F,AT,1958
Ömer,Hatice,M,AT,1943
Harald,Masswohl,M,AT,1992
Günter,Edelmüller,M,AT,1943
Christpph,Haupt,M,AT,1943
Christian,Kaizler,M,AT,1943
Tauland,Mjaki,M,AT,2001
Eva,Sternat,F,AT,2001
Caner,Özdemir,M,AT,1992
Markus,Hartner,M,AT,2007
Marina,Delija,,AT,2007
Sylvio,Hering,M,AT,1943
Fatih,Kahramanoglu,M,AT,1992
Fatma,Koc,,AT,1943
Aliya,Shakirova,F,AT,1943
Karl,Jetzinger,M,AT,1943
Norbert,Scherer,M,AT,2007
Dino,Halilovic,M,AT,1992
Christine,Palier,F,AT,1992
Florian,Fassnauer,M,AT,2001
Dagmar,Watzl,F,AT,1958
Thomas,Jaklitsch,,AT,1958
Lasha Giorgi,Xatiashvili,M,AT,1943
Gerold,Walser,M,AT,1992
