"name","family.name","gender","country","birth.year","treatment","X1","X2","X3","X4","X5","Y"
"Dirk-Bijan","Zarrinnam","M","DE",1981,0,39,3.59618702808874,7.91512899160161,7.01413763954732,-0.358151825721078,1.39337943597342
"Daniel","Onggowinarso","M","DE",1950,1,70,2.89133225042596,8.30482671684305,7.21817644239696,0.786338084156967,57.0467449498793
"Habte","Ghebrai","M","DE",1981,0,39,4.53452857380074,8.97257771053209,7.38605633376428,1.77409750477612,4.84570283422688
"Eugen","Mateis","M","DE",1950,0,70,3.71228165278552,8.58062849808748,7.57714264965428,2.55602612312557,3.4685609061304
"Αννα Αποστολια","Ραπτη","F","GR",1962,0,58,4.44977139512158,8.93494946970821,6.99779561495834,1.78630050032346,4.50300227549604
"Marika","Antalicsné","F","HU",1985,0,35,4.52735184831919,8.94678630396048,6.10789212059572,1.59990340659334,4.16975644023407
"Marcel","Sandouidi","M","IT",1945,0,75,4.4807482358508,8.71116152016387,7.32922940817813,1.28332998611948,4.29544746283547
"Maria Rosaria","La Padula","F","IT",2019,0,1,5.57993338520207,9.37216939261278,6.86151183068925,0.415394018002518,6.40315718714078
"Imma","Spina","F","IT",1989,1,31,6.78608070896905,8.97033449445155,7.30968175146287,0.930309324099429,33.3144057130864
"Diabolik","Preti","F","IT",1989,1,31,5.31855311806282,9.10070064537073,7.18595586500638,0.886778772150918,30.7516091082685
"Andrea","Salis","M","IT",1959,0,61,7.52170542172385,9.28548553552984,6.75172438124825,0.903662359140126,10.0593961312859
"Cristina","Cassano","F","IT",1989,0,31,6.58476110984658,9.35427146501405,6.39902739611338,0.96988284514206,8.27551975719074
"Marco","Ghinassi","M","IT",1945,1,75,7.26580391587144,9.16495697776314,7.08716289314721,0.196532544714644,69.2716243904875
"Gaetano","Colabucci","M","IT",1945,0,75,3.65571700945776,8.39664635544676,7.61532932290539,2.48651839218413,3.22424963372963
"Riham","Riham","F","NL",2015,0,5,3.6108522728619,8.89574140723889,7.28428071828833,-0.0841342469733126,2.34774401749043
"Mieke","Bijlard","F","NL",1940,1,80,4.56055237110723,9.04393017560838,6.29848501522252,1.10333615170954,68.2113252940981
"Michał","Zaworski","M","PL",2019,0,1,6.84064361552286,9.48670018636799,7.68457544778335,-1.06983191383102,8.6687396405021
"Piotr","Latawiec","M","PL",2001,0,19,6.4056302384851,9.50114199544849,5.93951830358802,-0.0499700203091893,7.49705659435613
"Małgorzata","Kawka","F","PL",2001,1,19,5.34299079203957,9.24769456533768,7.05437324187419,1.37821172459192,21.494297299384
"Paulina","Pałczyńska","F","PL",1967,0,53,3.28408456212626,8.76530526557463,6.12910988098627,0.0726839602341266,1.2254229222561
"Renata","Kluch","F","PL",1953,0,67,6.87079177211474,9.27169228934318,6.43937080839365,-0.0234075422931168,8.31870290647229
"Sonia","Silva","F","PT",1997,1,23,0.981904694377979,9.59143232052363,7.57774728853603,2.38144319179215,17.3117996529774
"Stas","Dyakov","M","RU",2012,0,8,2.61188706838949,9.19969604390252,6.87461476255693,2.69181484620023,1.66594618685309
"Сергей","Зайцев","M","RU",1951,1,69,7.2400810365398,9.48957066660022,6.81266451449935,0.1884014651742,64.7727626375464
"Muslim","Nalchigov","M","RU",1987,0,33,9.62779508248514,8.45672432371768,7.38770274046741,0.352454318431677,12.4243539771582
"Nina","Yashina","F","RU",1960,1,60,4.32294359818497,8.39741628617408,6.88168278025704,1.03663174382146,51.4615537292255
"Ирина","Калистова","F","RU",1987,0,33,6.87506215079322,7.86151593499466,7.76329728914973,0.585909662699723,7.19226745261592
"Наталия","Белоусова","F","RU",1951,0,69,2.37866756490348,9.1596695436712,7.10841910312562,1.62465231374945,0.891262307434348
"Анатолий","Борщ","M","RU",2012,1,8,5.17331950420875,7.9525793546498,7.24880978556558,1.86709829328323,11.3175979577931
"Виталий","Ливенцев","M","RU",2012,0,8,4.91700199877081,8.97261922589871,6.58182587774043,0.912451390611057,4.84159447742281
"Инна","Ермакова","F","RU",1951,0,69,5.28258459564039,9.06121645865271,7.63429013458921,1.34495491730918,6.20926034091126
"Анастасия","Завгородняя","F","RU",2012,1,8,3.73970794432131,9.41238491531987,6.30181847553606,0.635217756268873,9.21651594704631
"Кристина","Ростовская","F","RU",2005,0,15,6.78570943708891,7.99963393315628,7.45841520351948,0.890587411314947,7.24090211654331
"Валентина","Фатеева","F","RU",1951,0,69,4.3611261060997,8.45681401058797,6.61064267005244,1.64747107839333,3.7012775307809
"Olga","Rybina","F","RU",1987,0,33,4.38181252865638,8.75188675707346,6.53058906499124,0.834269240217283,3.63302454915307
"Саша","Разинкова","F","RU",2005,0,15,6.63784346117687,7.59680352826132,6.59223319953983,0.56900843081996,5.97055840188665
"Zareta","Kadimova","F","RU",2012,0,8,5.08492554200216,10.0094864072389,6.75269025617535,0.494765123085228,6.10722761398956
"Юля","Поплавская","F","RU",1960,1,60,4.58903391477136,9.21071222547856,6.96095178398211,1.118420493688,52.7219710005662
"Салия","Гатамова","F","RU",1951,0,69,7.25739279615295,8.61298641551462,6.8787503844321,-0.157370324304597,8.22392799917819
"Виталий","Чернов","M","RU",2012,0,8,7.34442993322956,9.59997215395325,7.5459125352759,-0.311402098157781,10.0397218216771
"Toxir","Qalandarov","M","RU",2005,0,15,2.65911948820898,10.5978971901971,7.34303519031675,0.741336515315482,1.91400640908487
"Douzi","Alamdal","M","ES",1987,0,33,6.40730340905477,9.8125332454758,6.45799340032976,0.706683678776467,8.45300496574584
"Pili","Gil","F","ES",2018,1,2,3.20654938370881,8.87075871552132,6.97346013501084,0.3086895990386,3.2387156205531
"Joaquin","Perez Simon","M","ES",1987,0,33,6.77735001785836,9.25398910489069,6.66288362664164,-1.45060054401171,7.65292153090782
"Carme","Gonzalez","","ES",1941,0,79,4.27983660065981,9.13417766741707,7.54511051158179,1.68602867607019,4.55566826734071
"Milagros","Garcia Soriano","F","ES",2003,0,17,5.17549292615325,9.52828904562748,6.6326709969346,-0.603791786863873,5.29722456115817
"Wilson","Chuquilla","M","ES",1987,0,33,3.68849120198328,9.26370896219192,6.55810216096902,1.03705526224169,2.89074767495932
"Doru","Baicu","M","SE",1944,1,76,5.38237228809473,8.46981033044445,7.02230909892842,0.37743045912938,65.915782951521
"Marisa","Bisasilva","F","CH",1944,0,76,3.55821520693022,8.51087274600637,6.7884957813156,-0.347672048817284,1.66332269412746
"Maria","Willis","","GB",2016,1,4,5.13365723097707,8.72492457123656,7.54475223758197,1.72184054384608,8.90944740166804
"Ed","Cann","M","GB",1989,1,31,3.09221744095972,9.52658787097494,6.90255566167494,1.36481141720196,27.0332559867056
"Michelle","Brigden","F","GB",1989,0,31,5.53094643026697,8.66894421331036,7.767060081767,2.44149070647295,6.71576466752394
"Claudette","Hendricks","F","GB",1989,1,31,8.6762042746461,8.00800747359643,6.33101531935513,-0.151740023972498,34.1715075890623
"Melanie","Sinclair","F","GB",1989,0,31,5.41800350814664,9.63465023847798,7.05669547593526,-0.632351688118039,6.04910372021319
"David","Le Guern","M","GB",2000,1,20,5.59077440635069,8.94518722916848,7.12982541727931,2.12332184071753,22.7442937458711
"Edgar","Edgar","M","GB",2016,0,4,5.47271594935815,9.57876613998041,6.6313171079658,1.74317305117143,6.85705279621538
"Paul","Lucas","M","GB",1989,1,31,6.74590731678583,7.83325392622142,6.42392940881657,2.4007413609821,31.908867503178
