name,family name,gender,country,birth year
Oligjelaj,Gjelajoli,F,AL,1995
Hasime,Laci,F,AL,1995
Ledio,Brami,M,AL,1965
Gjin,Preci,M,AL,1995
Kastriot,Gjoka,M,AL,1995
Rei,Musteqja,M,AL,1953
Malvina,Tola,F,AL,2002
Arben,Ricku,M,AL,1995
Alessandro,Alessandro,M,AL,2002
Mishel,Cenameri,F,AL,1995
Silva,Silva,F,AL,2002
Adriadriana,Bublea,F,AL,1995
La,Morte,M,AL,1995
Kristi,Gjoshi,M,AL,2010
Gjovalin,Kadrija,M,AL,1995
Ndoc,Laska,F,AL,2010
Endrit,Leskaj,M,AL,2010
Julian,Shima,M,AL,2010
Kudret,Harruni,,AL,1995
Kozi,Kaza,F,AL,1995
Steve,Ralph,M,AL,2010
Erviseld,Vini,M,AL,1965
Marsel,Hamiti,,AL,2010
Ormir,Poti,M,AL,1953
Leo,Vata,M,AL,1965
Thanas Tatjana,Thoma,M,AL,1995
Eduard,Merolli,M,AL,1995
Albert,Cepa,M,AL,1953
Anna,Prenga,F,AL,2002
Petro,Aska,M,AL,1965
Fatjon,Mullai,M,AL,1995
Elison,Isufaj,M,AL,1995
Viseta,Buzo,F,AL,1995
Vilma,Vilma,F,AL,1995
Genc Paja,Genc Paja,M,AL,1995
Nita,Nita,,AL,1995
Gersi,Marra,M,AL,1995
Romeo,Kodra,M,AL,1965
Fatmir,Frashnishta,M,AL,1995
Edmond,Karcini,M,AL,1995
Sandra,Simlinger,,AT,1994
Erich,Stranimaier,M,AT,1950
Michael,Juen,M,AT,1994
Victoria,Fadina,F,AT,1950
Klaus,Walter,M,AT,1950
Benjamin,Zöhrer,M,AT,2009
Dejan,Rajcic,M,AT,1994
Nadine,Baureis,F,AT,1994
Kornelia,Hofer,F,AT,1994
Erwin,Fragner,M,AT,1950
Mo,Klamminger,M,AT,2009
Manuela,Pöschl,F,AT,1994
Astrid,Grasser,F,AT,1994
Birgit,Zöhrer,F,AT,1994
Josef,Lehner,M,AT,1994
Andrea,Schattinger,F,AT,1994
Betti,Banani,,AT,1994
Vanessa,Aichhorn,F,AT,1994
Sabine,Matty,F,AT,1994
Gregor,Hellinger,M,AT,1994
Hasan,Eken,M,AT,1962
Michael,Barth,M,AT,1950
Thomas,Faustmann,M,AT,1994
ناصر,ريش,M,AT,2009
Susanne,Pogats,F,AT,1994
Petra,Antlitzhofer,F,AT,1950
Cheng,Komarek,F,AT,1962
Christoph,Massner,M,AT,1950
Manuel,Waschak,M,AT,1994
Erich,Adensam,M,AT,1994
Selin,Aktas,,AT,1994
Jazmina,Rafajova,F,AT,1950
Michael,Quehenberger,M,AT,2009
Adolf,Scherz Sen,M,AT,2009
Gregor,Janko,M,AT,1994
Angela,Gschwandtl,F,AT,1994
Hans,Geher,M,AT,1994
Josef,Hinterleitner,M,AT,1950
Nadine,Mitdank,F,AT,1950
El,Vedo,M,AT,2009
Gilbert,Andrae,M,AT,1994
Rene,Petschar,M,AT,1962
Dominik,Scherrer,M,AT,1994
Ahmad,Ghazy,M,AT,1994
Piia,Piia,F,AT,1950
Laura,Wissiak,,AT,1950
Josef,Reiter,M,AT,1950
Besnik,Raraa,M,AT,1950
Sonja,Buchgraber,F,AT,1962
Zoran,Savic,M,AT,1994
Thomas,Zeilinger,M,AT,1994
Franz,Steinparzer,M,AT,1994
Marcel,Krautberger,M,AT,1994
Marianne,Wolf,F,AT,1999
Nurgül,Serhan,F,AT,2009
Arif,Eroglu,M,AT,2009
Angelina,Pock,F,AT,1999
Danijela,Tanic,,AT,2009
Stefan,Schaller,M,AT,1994
Max,Schuller,M,AT,1994
Maler,Pepi,M,AT,1999
Danijel,Stojadinovic,M,AT,1962
Lisa,Krenn,,AT,1950
Mario,Warum,M,AT,1994
Yusuf,Özpnr,M,AT,1994
Sonja,Fellinger,F,AT,1950
Marion,Baier,F,AT,1994
Edwin,Weiser,M,AT,1994
Nino,Nino,F,AT,1994
Amel,Zairi,F,AT,1962
Ursula,Da,,AT,2009
Hannes,Heindl,M,AT,1962
Lukas,Palme,M,AT,1994
محمد,محمد,M,AT,2009
Claudia,Hartenberger,F,AT,1994
Marlies,Gurmann,F,AT,1994
Jane,Schober,F,AT,1950
Rada Vedran,Nesvadba,F,AT,1950
Paul,Berger,M,AT,1994
,Tischelmayer,M,AT,1994
Matthàus,Ptas,M,AT,1994
Evelyn,Zloebl,F,AT,2009
Chris,Dolch,M,AT,1999
Sigi,Straßhofer,M,AT,1994
Christian,Neurauter,M,AT,1962
Manuela,Roth,F,AT,2009
Mariusz,Sztangret,M,AT,1950
Samuel,Rossmann,M,AT,1994
Thomas,Barensteiner,M,AT,1994
Erika,Babic,F,AT,2009
Sayed,Sherzad,M,AT,1994
Christoph,Skringer,M,AT,2009
Manuel,Rossegger,M,AT,2009
Fuat,Akin,M,AT,1994
Christian,Filzwieser,M,AT,1994
Benschi,Dreiundzwanzig,M,AT,1994
Thomas,Knaller,M,AT,1994
Antonia,Müller,F,AT,1950
Johanna,Gruenhage,F,AT,1994
Maria,Marie,F,AT,1950
Pamela,Sitter-Trollmann,F,AT,1999
Zorica,Boskic,F,AT,1962
Andreas,Leitner,M,AT,1994
Mohammed,Kazemi,F,AT,1950
Werner,Fankhauser,M,AT,1994
Magdalena,Gritzner,F,AT,1994
Nadine,Theis,F,AT,1994
Weisz,Dávid,M,AT,1950
Klaus,Ortner,M,AT,1994
Sandra,Beneder,F,AT,2009
Miriam,Gilges,F,AT,1999
Gregor,Wohlmacher,M,AT,1950
Mari,Mari,F,AT,2009
Thomas,Gaeta,M,AT,1994
Sevim,Sirin,F,AT,1999
Sefika,Öztürk,F,AT,1999
Beatrice,Bulla Moser,F,AT,1994
Melissa,Baumann,F,AT,1950
Seli,Zeki,M,AT,1962
Irene,Posch,F,AT,2009
Peter,Spanring,M,AT,1994
Sevim,Akca,F,AT,1950
Tomislav,Georgievski,M,AT,1950
Lazar,Istvan,M,AT,1994
Anna,Wang,F,AT,1950
Muhammet,Acikdilli,M,AT,2009
Karim,Moisa,M,AT,1994
Annemarie,Mayrhofer,F,AT,1994
Andreas,Müller,M,AT,1999
Gloria,Ömer,F,AT,1994
Flo,Krejcarek,M,AT,1994
Noah,Hauderer,M,AT,1994
Erich,Baburek,,AT,1950
Mandakh,Gantogoo,F,AT,1962
Loei,Osman,M,AT,1994
Aniikaa,Murtic,F,AT,1994
Lenny,Knapp,F,AT,1962
Dori,Le,F,AT,2009
Michael,Jarosch,M,AT,2009
Eigene Nummer,Appelius,F,AT,2009
Lisi,Neuwirther,F,AT,1994
Doktorr,Rocke,,AT,1994
Krampl,Dominik,M,AT,1994
Caro,Feichtinger,F,AT,2009
Franz Reinhard,Wasserbauer,M,AT,1994
Enis,Jukic,M,AT,1999
Jana,Aschenbrenner,F,AT,1999
Lisa,Palmhert,,AT,1999
Bettina,Lackner,F,AT,2009
Manuela,Knotz,F,AT,1962
Clemens,Miro,M,AT,1962
Ogulkan,Gundis,M,AT,1994
Marcus,Lebesmühlbacher,,AT,2009
Günter,Kwasny,M,AT,1950
Elvis,Hidanovic,M,AT,1950
Patrik,Kopriva,M,AT,2009
Engin,Kılınç,M,AT,1994
Kerstin,Neuer,F,AT,1994
Saskia,Lehner,F,AT,1950
Thomas,Steindl,M,AT,1950
Bernie,Bernadette,F,AT,1950
Monika,Raback,F,AT,1994
Johann,Leutgeb,M,AT,1950
Alexandra,Wolf,F,AT,1950
Gerlinde,Konnerth,F,AT,2009
Serdar,Atilmis,M,AT,1962
Chenfei,Chen,F,AT,1950
Ayfer,Dincer Özbabacan,F,AT,1994
Daniel Ionut,Dumitrache,M,AT,1962
Anica,Jakopcevic,F,AT,1999
Ma Li,Berisha,M,AT,1962
Ronja,Eberhard,F,AT,2009
Kata,Arezina,F,AT,1999
Heike,Hutfles,F,AT,1962
Hilde,Kresberg,F,AT,1994
Kadri,Rramani,M,AT,1962
Brigitte,Oberleitner,F,AT,2009
Karin,Saey,F,AT,1994
Michi,Sommer,M,AT,1950
Anneliese,Bräuer,F,AT,1994
Annemie,De Jongh,F,AT,1950
Manuel,Siebenhandl,M,AT,1994
Josephine,Scianna,,AT,1994
Mirzai,Hamid,M,AT,1999
Sieglinde,Hölbling,F,AT,1950
Maria,Lachner,F,AT,1950
Gzime,Emini,,AT,1962
Andreas,Schimpl,M,AT,1999
Violeta,Nijazi,F,AT,1994
Stefan,Mayer,M,AT,1950
Damir,Nikolic,M,AT,1994
Klaus,Klarmann,M,AT,1994
Trudy,Van Loon,F,AT,2009
Katharina,Kielmas,F,AT,1950
Jenny,Niederer,,AT,2009
Anita,Miholic-Ljubic,F,AT,1994
Hasan,Saygili,M,AT,1950
Barbara,Helemann,F,AT,1999
Emir,Özcan,M,AT,2009
Elisabeth,Marcus,,AT,1962
Sabine,Picker,F,AT,2009
Theresia,Knopf,F,AT,1962
Hannah,Kitzberger,F,AT,1994
Mario,Lumetsberger,M,AT,1994
Sabrina,Wachter,F,AT,1999
Manal,Mohammad,F,AT,1994
Christian,Santeler,M,AT,1994
Felix,Berger-Schauer,M,AT,1994
Gerald,Weiss,,AT,2009
Tatiana,Viret,M,AT,1999
Sabine,Morgenthaler,,AT,1994
Claudia,Exenberger,F,AT,1994
Gerald,Weiringer,M,AT,1994
Karin,Wögerer,F,AT,1950
Nihan,Sezin,F,AT,1994
Majed,Almajed,M,AT,1950
Kizzuwatna,Edene,M,AT,1950
Hema,Badgedg,M,AT,1994
Marcel,Winter,M,AT,1962
Derya,Acikgöz,F,AT,1994
Siegfried,Jance,M,AT,1994
Daniel,Bajric,M,AT,1994
Sylvia,Schobesberger,F,AT,1962
Laura,Leonhartsberger,F,AT,1994
Dorys,Sorin,,AT,2009
Andreas,Enhuber,M,AT,1999
Michaela,Waibel,F,AT,1994
Dorina,Schraml,F,AT,1962
Olgica,Jozic,F,AT,1994
Stefanie,Rohrmoser,F,AT,1994
Selma,Jasarovski,F,AT,2009
Hamid,Ali,M,AT,2009
Mert,Odabaşı,F,AT,1994
Behija,Mujkanovic Jasarevic,F,AT,1994
Barbara,Schampach,F,AT,2009
Raffael,Iciren,M,AT,1994
Marco,Leitner,M,AT,1994
Roland,Hafner,M,AT,1999
Katrin,Koch,F,AT,1994
Đức,Tớ Là,M,AT,1994
Sabine,Gahleitner,F,AT,1994
Martin,Pfeiler,M,AT,1950
Oswald,Gstöttner,M,AT,1994
Ева,Арцман,F,AT,1999
Tarik,Uludag,M,AT,1999
Kerstin,Rodler,F,AT,1950
Christian,Koschir,M,AT,1962
Tekin,Özdemir,M,AT,1994
Jasmin,Alagic,M,AT,1994
Marija,Natalia,F,AT,1950
Doris,Schett,F,AT,2009
Mevlida,Begic,F,AT,2009
Max,Renz,,AT,1999
Andreas,Berger,M,AT,1994
Irene,Kainrath,F,AT,1994
Wena,Natascha,F,AT,1999
Harry,Sommer,M,AT,1994
Wolfgang,Fuchs,M,AT,1994
Hans Peter,Eibl,M,AT,1994
Frieda,Koch,F,AT,1950
Markus,Konrad,M,AT,1994
Akos,Polgàrdy,M,AT,1994
Ingrid,Böhm,F,AT,1994
Talash,Nur Dich,M,AT,1994
Nadine,Knaus,F,AT,1962
Fereshta,Moradi,F,AT,1994
Mikail,Gürel,M,AT,1994
Herbert,Nedusch,M,AT,1999
Vincent,Zugg,,AT,1950
Claudia,Greimel,F,AT,1994
Anton,Waltl,M,AT,2009
Susanne,Beyerknecht,F,AT,1950
Bernd,Huemer,M,AT,1994
Zarko,Macinkovic,,AT,1950
Karoline,Schöllerl,F,AT,1950
Michael,Tohr,M,AT,2009
Lydia,Stary,F,AT,1950
Sebastian,Wagner,M,AT,1994
Snezana,Todorovic,F,AT,1994
Ma,Tin,M,AT,1994
Christian,Polszter,,AT,2009
Nikolina Krpan,Mokrovic,F,AT,2009
Stefan,Bauer,M,AT,1994
Bartosz,Folland,M,AT,1950
Mahmoud,Kalash,M,AT,1950
Saadia,Lukasser,F,AT,1994
Alfred,Beer,M,AT,1994
Denise,Wiedermann,F,AT,1950
Nikita,Kasijan,M,AT,1994
Christina,Pohn,,AT,1994
Angela,Jambrec,,AT,1994
Michael,Kinast,M,AT,1994
Oli,Rainer,M,AT,1950
Hannes,Grenl,,AT,1999
Albin,Schwaiger,M,AT,1994
Vullnet,Halimi,M,AT,1994
Abdullah,Almasri,M,AT,2009
Franzju,Bergmaier,M,AT,1994
Martin,Heindl,M,AT,1994
Hanne,Dhondt,F,BE,1943
Louis,Carremans,M,BE,1964
Olivier,Vb,M,BE,1993
Suat,Yildiz,M,BE,1943
Noah,Beauvois,M,BE,1993
Dominique,Hoff,M,BE,1943
Tiffa,Soos,F,BE,1999
Gökhan,Subatan,M,BE,1993
Jens,Van Hasselt,M,BE,1964
Emilie,Lucas,F,BE,2011
Loes,Laurijssen,F,BE,2011
Frédéric,Loubanzi,M,BE,1993
Werner,Neuville,M,BE,1993
Carine,Kemel,F,BE,1993
Stef,Heussen,M,BE,1993
Jean,Guillissen,M,BE,1943
Donovan,Leclercq,M,BE,1993
Gerard,Bosman,M,BE,1964
Piotruś,Pan,M,BE,1999
Ian,Van Belleghem,M,BE,1943
Pieter,Boon,M,BE,1993
Waheed,Sarwar,M,BE,1964
Quentin,Berden,M,BE,1993
Francesca,Gelabert,F,BE,1999
Ugur,Gumus,M,BE,1993
Igor,Avdalian,M,BE,1964
Glenn,Aussems,M,BE,1993
Olivier,Nevens,M,BE,1993
Marcel,Rombout,M,BE,1999
Ani,Mak,F,BE,1993
Claudy,Devresse,M,BE,1964
Jack,Ferrand,M,BE,1993
Bunjamin,Veseli,M,BE,1993
Marie,Bizimana,,BE,1943
Antonio,Quintans,M,BE,1943
Ann,Robben,F,BE,1993
Marie-France,Maton,F,BE,1993
Coryan,Hanot,M,BE,1993
Sibel,Oruc,F,BE,1964
Marleen,Stubbe,F,BE,1993
Hervé,Lenel Thilmany,M,BE,1993
Iskander,Azizov,M,BE,1943
Van,Lien,F,BE,1943
Julie,Forner,F,BE,1993
Bart,Colpaert,M,BE,1964
Ronny,Van Dam,M,BE,1993
Aïcha,Chl,,BE,1993
Leen,Verlinden,F,BE,1993
Slawomir,Wronski,M,BE,1943
Lena,Verhenne,F,BE,1943
Ellie,Audenaert,M,BE,1993
Verviers,Belgium,M,BE,1943
Emad,Barsoum,M,BE,1999
Gael,Deligne,M,BE,2011
Femke,Peeters,F,BE,1964
Debacker,Chantal,F,BE,1993
Mathieu,Ghilain,M,BE,1993
Elias,Karaj,M,BE,1993
Laurette,Gspr,F,BE,1943
Sonia,Bekkaoui,F,BE,1943
Kenneth,De Rouck,M,BE,1993
Nicolas,Eeman,M,BE,1993
Annie,Briels,F,BE,1999
Caroline,Van Ermengem,F,BE,1993
Robbe,Michiels,M,BE,2011
Ruveyda,Odabasi,F,BE,1999
Elhouda,Azeddine,M,BE,1999
Muhammed,Kanza,M,BE,1993
Ali,Aliboxethai,M,BE,2011
Bernard,Cornelis,M,BE,1993
Eveline,Platteeuw,F,BE,1993
Martine,Van Durme,F,BE,1993
Ferid,Flot,M,BE,1993
Aurore,Pirsoul,,BE,2011
Sylvia,Lambert,,BE,1993
Stefaan,De Cock,M,BE,1993
Michel,Masure,M,BE,1964
Nathalie,Vertommen,F,BE,1993
Thierry,Hutse,M,BE,1993
Claude Michel,Claude Michel,M,BE,1999
Derya,Akkaya,F,BE,1993
Juf,Tamara,F,BE,1943
Sarah,Tragas,F,BE,1993
Anne,Raedschelders,F,BE,1943
Daniel,De Leeck,M,BE,2011
Willy Jean,Voets,M,BE,1993
Murat,Duman,M,BE,1993
Isabel,De Smet,F,BE,1943
Wim,Naenen,M,BE,1943
Killian,De Clercq,M,BE,1999
Jan,Holtyzer,M,BE,2011
Edona,Shabani,,BE,1993
Comeandgetit,Comeandgetit,M,BE,1993
Dominic,Van Oosterwyck,M,BE,1993
Vera,Van Belleghem,F,BE,1964
Nisrine,Nini,F,BE,1993
Amina,Lara,F,BE,1943
Justine,Pattyn,F,BE,1964
Kelsey,Smets,F,BE,1999
Lalicata,Mimma,F,BE,1943
Fred,Joos,M,BE,1993
Jonathan,Boes,M,BE,1999
Tine,De Campenaere,F,BE,1993
James,Debruyn,M,BE,1964
Mustafa,Tunc,M,BE,1964
Abdellatif,Abdel,M,BE,1993
Marc,Platevoet,M,BE,1993
Jeannine,Defer,F,BE,1993
Peter,Smeys,M,BE,1943
Vanderborght,Leon,M,BE,1943
Nejla,Ucakci,,BE,1993
Solène,Catot,F,BE,2011
Patrick,Pipers,M,BE,1964
Hu,Degirmen,M,BE,1993
Kao,Oh,M,BE,1999
Missa,Guerziz,F,BE,1964
Sanne,Vanwinkel,F,BE,1943
Anmol,Chapagai,M,BE,1993
Rudi,Vandenplas,M,BE,1943
Estelle,Gregoir,F,BE,1993
Abdenabi,Ahmindach,M,BE,2011
Daniel,Fostier,,BE,1943
Larbi,Ermili,M,BE,1943
Martin,Yuliev,F,BE,1993
Rob,Thora,M,BE,1999
Elena,Velasquez,F,BE,1943
Anneleen,Aengeveld,F,BE,1999
Cé,Line,,BE,1943
Lionel,Hautier,,BE,1999
Wojtek,Nowak,M,BE,1993
Harry,Verbeke,M,BE,1943
Lulu,Cornelis,F,BE,1993
Virginie,Jac,F,BE,2011
Jasin,Shabani,M,BE,2011
Nadine,Kijndt,F,BE,1964
Gilbert,Van Cortenberg,M,BE,1993
Linda,Clemens,F,BE,1999
Mohamed,Mohamed,M,BE,1993
Dries,Daems,M,BE,1993
Vivian,Nweke,F,BE,1999
Kelly,Van Hove,F,BE,1993
Karim,Roland,,BE,2011
Nofar,Nave,F,BE,1999
Yura,Gharibyan,M,BE,2011
Laurie,Huynen,F,BE,1999
Alexandra,Carpentier,F,BE,1964
Thavithu,Marcku,M,BE,2011
Christine,Dethoor,F,BE,1943
Albert,Markos,M,BE,1993
Christine,Mahy,F,BE,1964
Deborah,Rochtus,F,BE,1993
Denizhan,Karabıyık,M,BE,2011
Maxime,De Meyer,M,BE,2011
Maxime,Struvay,M,BE,1943
Natacha,Cms,F,BE,1999
David,Fraikin,M,BE,2011
Mimmo,Brunelli,M,BE,1993
Marjan,Pynoo,F,BE,1943
Cherbel,Izac,M,BE,1999
Fabienne,Vandenbosch,F,BE,1993
Koen,Menten,M,BE,1943
Roy,Bruyneel,M,BE,1999
Els,Vissers,F,BE,2011
Katarina,Jiresova,F,BE,1999
Said,Karoum,M,BE,1993
Lore,Jame,F,BE,1993
Mag,Ou,F,BE,1943
Tplankske,Werkinstructies,F,BE,1999
Inge,De Pauw,F,BE,1999
Delphine,Robberechts,F,BE,1943
Maadatix,Escobar,M,BE,1993
Dagmar,Stevens,F,BE,1993
Marzena,Czekaj,F,BE,2011
Cidem,Cbkr,F,BE,1993
Valentin,Dreessen,M,BE,1993
Rudy,Goossens,M,BE,1943
Tanguy,Pierre,M,BE,1943
Jeannine,Goeyens,F,BE,1964
Aaron,Willems,M,BE,1993
Oliver,Haesen,M,BE,1993
Singh,Harpreet,M,BE,1943
Singh,Khalsa,M,BE,1943
Philippe,Thiébaut,M,BE,1964
Kelio,Zefi,M,BE,1964
Veerle,Piton,F,BE,1999
Heinz,Jenniges,M,BE,1993
Karlien,De Wilde,F,BE,2011
Sybille,Troubleyn,F,BE,2011
Claude,Couchant,,BE,1999
Abdul,Peter,M,BE,1993
Olivier,Carbonez,M,BE,2011
Mujolii,Gzim,M,BE,2011
De,Witte,M,BE,1993
Angelo,Di Lillo,M,BE,1943
Lopez,Lee,F,BE,1943
Ingrid,Delforge,F,BE,1964
Michiel,Smolders,M,BE,1993
Peter,Bruggeman,,BE,1993
Sandra,Dziemian,F,BE,1993
Mireille,Amerijckx,F,BE,1993
Amélie,Degroote,F,BE,1993
Frederik,Seynaeve,M,BE,1943
Hanan,Takchira,M,BE,2011
Jeremy,Destickere,M,BE,2011
Roger,Vdzande,M,BE,1993
Yannick,Rossignol,,BE,1993
Mariusz,Świgonski,M,BE,1993
Jolien,Verheirstraeten,F,BE,1993
Cecile,Galle,F,BE,1993
Maqsud,Chaudhry,M,BE,1993
Mark,Rennie,M,BE,2011
Joffrey,Desreumaux,M,BE,1964
Laetitia,Mianzuila,F,BE,2011
Asia,Mościcka Borkowska,F,BE,1993
Jassin,Boudara,M,BE,1999
Younsse,Khalid,M,BE,1964
Naima,Daoudi,F,BE,1993
Chaima,Amnih,F,BE,1943
Gaby,Fatticcioni,F,BE,1999
Afra,Sajjad,M,BE,1964
Sanda,Omar,M,BE,2011
Kamal,Ghobrial,M,BE,1993
Alex Boy,Alex Amy,M,BE,2011
Thibault,Gielen,,BE,1993
Cassandra,Florin,F,BE,1964
Verdonck,Ria,F,BE,1993
Mohamed,Solhi,M,BE,1999
Natalia,Saghin,F,BE,1993
Eric,Fior,M,BE,1999
Bart,Vandoolaeghe,M,BE,2011
Henri,Simon,M,BE,1964
Nadine,Cools,F,BE,1943
Sanches,Chady,F,BE,1943
Ayoub,Tangéroiis Bruxellois,M,BE,2011
Surendo,Lafertin,M,BE,1993
Kristel,Steelandt,F,BE,1943
Dorothy,Bacc,F,BE,1964
Dutoit,Delphine,F,BE,2011
Driesen,Steve,,BE,1943
Hanne,Vanhoenacker,F,BE,1964
Maikel,Van Den Boom,M,BE,1943
Hüppertz,Gerrit,M,BE,1943
Gwenaëlle,Gos,F,BE,1943
Demierbe,Janine,,BE,1993
Claude,Nellissen Mammouth,M,BE,1999
Michael,Ronnen,M,BE,1943
Decock,Geert,M,BE,1993
Jan Hendrik,Voet,M,BE,1964
Fabian,Mainfroid,M,BE,1943
Ide,Toirkens,,BE,1993
Agnes,Dc,,BE,1964
Chris,Paun,M,BE,1943
Sofia Swartz,Algenchtein,F,BE,1999
Stéphane,Taverne,M,BE,1993
Martine,Lefebvre,F,BE,1993
Jolie,Myriam,F,BE,1993
Anish,Nish,F,BE,1964
Dylan,Everard,,BE,2011
Gautier,Kerkhove,M,BE,1999
Nisrine,Niss,F,BE,1993
Bart,Derycker,M,BE,1993
Tanguy,Schoonbroodt,M,BE,1993
Jill,Peeters,F,BE,1993
Kathy,Nuyttens,F,BE,2011
Martine,Verachten,F,BE,1943
Célia,Jenniges,F,BE,2011
Ann,Hoornaert,F,BE,2011
T Optimistje,Kinderdagverblijf,F,BE,1943
ماريا,مراد,M,BE,1999
Fatiha,Azarkan,F,BE,2011
Ineke,Meylemans,,BE,1964
Gilbert,Martein,M,BE,1964
Arnold,Demoulin,M,BE,1943
Valérie,Brismez,F,BE,1993
Sarah,Heusay,F,BE,1943
Dirk,Van De Sompel,M,BE,1999
Chuchu,Hakundwa,F,BE,1964
Eloïse,Godefroy,F,BE,1943
Nicolas,Wisniewski,M,BE,1993
Tariq,Alnaaeme,M,BE,1964
Joe,Benz,M,BE,1993
Toon,Christensen,M,BE,1993
Muhamed,Hadzic,M,BE,1943
Elvedina,Kahrimanovic,F,BE,1964
Guy,Scheren,M,BE,2011
Sanane,Be,F,BE,1943
Eddy,Govaerts,M,BE,1999
Marie Rose,Polome,F,BE,1943
Sofie,Dheedene,F,BE,1964
Paul,Omahony,M,BE,1943
Ivan,Ba,M,BE,1993
Edison,Ruiz,M,BE,2011
Jeroen,Roose,M,BE,1964
Dirk,Traen,M,BE,1943
Mohammed,Lhm,M,BE,1943
Emma,Lemaire,F,BE,1943
Aurélie,Coppens,F,BE,1964
Robbert,Valkeneers,,BE,1999
Christine,Vandenberghe,F,BE,2011
Fatma,Karlik,F,BE,1993
Jan,Ban,M,BE,1999
Souleve,Ton String,F,BE,1943
Duha,Sawas,F,BE,1993
Jillali,Aissaoui,M,BE,1943
Joyce,Cornelissen Privé,F,BE,1964
Rachel,Troka,F,BE,1964
Credo,Kialungila Luzolo,,BE,1999
Valerie,Schurmann,F,BE,1999
Isabelle,Braibant,F,BE,1993
Marie-Eve,Lausberg,F,BE,1999
Michelle,Thys,F,BE,1943
Alica,Chemin,F,BE,1964
Noëmi,Callaert,F,BE,2011
Carine,Vermassen,F,BE,1993
Gauthier,Smal,M,BE,1993
Kimberly,Laenen,F,BE,1964
Peter,Wildiers,M,BE,2011
Karine,Van Sante,F,BE,1943
Hadire,Mohamed,M,BE,1943
Kenny,Martens,M,BE,1943
Leila,Haddaji,F,BE,1993
Kyara,Pellis,F,BE,1964
Dede,Wa,M,BE,1943
Mimi,Ivanova,F,BE,1993
Didier,Halin,M,BE,1943
Annick,Mami Minou Balboa,F,BE,1993
Julie,Massin,F,BE,2011
Dimitri,Dimitri,,BE,1964
Michèle,Devillers,F,BE,1943
Giovanni,Sergio,M,BE,1999
Laura,Mills,F,BE,1943
Renaud,Ben Lakhal,M,BE,1993
Krisja,Mertens,,BE,2011
Rosa,Alexandridis,F,BE,1993
Doriano,Bonacci,M,BE,1943
Guibert André,Herbinia,M,BE,2011
Guy,Louppe,M,BE,1943
Michael,Rooman,M,BE,2011
Sezen,Sezer,F,BE,1943
Icner,Murat,M,BE,1993
Hicham,Smile,M,BE,1993
Jean-Marie,Fonteyn,M,BE,1993
Maria Araceli,Gotico,F,BE,2011
Edit,Novák,F,BE,1999
Mariette,Keyzers,F,BE,1993
Julie,Bril,,BE,2011
Neal,Vn Dn Brnde,M,BE,1999
Jess,Djordan,F,BE,1993
Caroline,Trouet,F,BE,1999
Louis,David,M,BE,1993
Emile,Christiaens,M,BE,2011
Björn,Craenen,M,BE,1993
Joeri,Juvijns,,BE,1993
Marie,Cuisinier,F,BE,1993
Fabienne,Remacle,F,BE,1964
Mika,Van Den Bossche,M,BE,2011
Sven,Spaepen,M,BE,1993
Mady,Vergaelen,F,BE,1964
