name,family name,gender,country,birth year,treatment,X1,X2,X3,X4,X5,Y
Cuni,Mistrec,M,AL,1977,0,43,9.176879201043514,-0.475707910144204,7.020429560450128,7.0,-18.801539604573573
Andreas,Mockas,M,AL,1977,0,43,7.668900522082186,1.8983434707144164,6.575735188664696,7.0,52.96463754055647
Bianca,Schwärzler,F,AT,1969,0,51,9.107234996907044,0.627085145739026,6.814483446367745,7.0,19.423755368747294
Salem,Odaro,M,AT,2013,0,7,7.435961860058322,0.09139943272480469,7.29255699694165,7.0,0.45372156876658076
Elisabeth,Sonnleitner,F,AT,1961,1,59,3.822415459046832,0.2097285457148389,6.7426666099770145,7.0,42.044946683818935
Vullnet,Huqaj,M,AT,1969,1,51,4.572170051832241,2.2226625843418297,7.474230718201326,7.0,72.24230159319295
Thomas,Pupp,M,AT,1969,1,51,6.865450130258979,0.8237705006553621,7.339454229145307,7.0,55.076291971057046
Josef,Spötta,M,AT,2013,0,7,8.829097289417724,1.1694231464202145,6.999146934709088,7.0,37.01554698786553
Lukas,Jakli,M,AT,2013,0,7,5.11542259210145,1.9609832141951085,6.989247067333723,7.0,35.8964000156373
Evi,Wenzl,F,AT,1969,1,51,7.709391823305851,1.7037752637587122,6.8892854870549325,7.0,83.35919836011148
Sasa,Stojakovic,M,AT,1969,1,51,4.656284424856914,0.13193959355092386,6.8754846062367365,7.0,35.77604012734422
Matasem,Ka,M,AT,1961,0,59,9.058730952282346,1.3812158049543928,7.3013890346800014,7.0,45.4195791229726
Hannes,Berghold,M,AT,1969,1,51,6.509765347321053,0.9971815317805944,7.058719248205939,7.0,58.16676754216152
Andreas,Weiss,M,AT,1948,1,72,6.2327147555829985,3.2855551828435745,7.509350106964694,7.0,126.15165505490799
Jioan,Abdulla,M,AT,1969,1,51,8.02778362828555,0.27353670564361426,7.006501904509638,7.0,41.82744008693038
Reinhard,Pichler,M,AT,1948,0,72,5.25242028038737,1.6928263338150025,7.602595238715473,7.0,31.750131663350196
Mehmet,Batur,M,AT,2013,1,7,8.131010519759913,-0.9370688791314151,7.011819825882089,7.0,-26.268690275477802
Helmut,Wydra,M,AT,1948,0,72,5.352087341277395,2.1958475174615693,7.178436243192573,7.0,42.495376711016995
Maria,Preitler,F,AT,1969,1,51,5.404308030961178,2.3906957878292374,7.223529347432718,7.0,82.64637055190437
Regina,Schönberger,F,AT,1961,1,59,8.186078762243385,0.5461032146800394,7.68868357930281,7.0,56.27513600740104
Sonja,Honeder,F,AT,1961,0,59,6.161480403365513,1.8669914083668866,6.7134939225393,7.0,41.40210065083176
Gülcan,Kamat,F,AT,1948,0,72,9.229426228562348,0.4937460403999286,7.33407489156412,7.0,15.200140909500757
Sabine,Boehm,F,AT,2013,1,7,7.005974947028323,-0.013043746998813395,6.796878509713465,7.0,2.2689597952026954
Claudia,Seidl,F,AT,1961,1,59,7.670450418805888,0.7599546443894722,7.210234008469528,7.0,61.29704189236756
Dominik,Krajnc,M,AT,1961,1,59,9.111340123646615,-0.7187361911941064,6.998533433033153,7.0,14.19567174943807
Aurelia,Ventel,F,AT,1969,0,51,5.685633178841995,1.8121027367733729,6.865778062741072,7.0,36.88962410085495
Brigitte,Stuiber,F,AT,2013,1,7,5.980010812337668,-0.24447823826374643,6.621094680847653,7.0,-2.9969599561231863
Wilfried,Wegert,M,AT,1948,1,72,7.993748263596433,0.24234746290435602,7.212345450708548,7.0,55.60835276893761
Ea,Somma,F,AT,1969,1,51,5.469738389978548,0.9972464229591692,7.110672897416722,7.0,54.243285903640974
Hannes,Dantler,M,AT,1969,1,51,10.894298989931793,-0.0772075736006308,6.821443335920391,7.0,30.227891294902584
Nikolay,Topalov,M,AT,1969,1,51,10.423361310638127,-0.5321824803715908,7.15926021901231,7.0,12.451399590190817
Bernhard,Hajdinjak,M,AT,1948,1,72,6.2109484887735205,2.9108447257033303,6.46352719206241,7.0,116.70619065286635
Lukas,Zoitl,M,AT,2000,0,20,9.756563836478657,-1.2374177871875298,7.518150512592712,7.0,-47.93908904221448
Roberto,Golacz,M,AT,1948,1,72,12.297953492932663,1.7308970337128706,7.1120211031950555,7.0,129.10459686633354
Nadja,Gierlinger,F,AT,1948,1,72,7.969835914937692,-0.43456074370877934,6.946210030421275,7.0,35.003195895996186
Johannes,Karner,M,AT,1969,0,51,7.351556860351592,0.6167289498038645,6.765309092249455,7.0,14.934865670329025
Helga,Weinzettl,F,AT,1961,0,59,6.9109548489583545,-0.553307337963162,7.269747100159735,7.0,-16.666564405822854
David,Vuckovic,M,AT,1969,0,51,6.602396073814082,0.9654559297949418,7.530025270472951,7.0,22.164001748323944
Meral,Atalay,F,AT,1969,0,51,4.058098674653849,2.179669713838166,6.889340670536065,7.0,31.358142003141033
Harald,Paul,M,AT,1969,0,51,8.509049365910004,1.0709306213647647,7.243171231225662,7.0,32.48401587058936
Jasmin,Paternioner,F,AT,1969,1,51,8.889218330708047,-0.1903169483054156,6.968768759155582,7.0,27.04244299223829
Michael,Angerer,M,AT,1969,0,51,8.432682024006438,2.275648048477999,6.782527226590056,7.0,70.63287180271456
Daniel,Buchmaier,M,AT,1969,0,51,5.631952849971818,0.8465513203805038,6.991674477149068,7.0,15.895785239319453
Ercü,Güven,M,AT,2013,1,7,4.792346407752297,1.5896998885798548,7.308729255724293,7.0,31.725844420564744
Manuel,Hirschhofer,M,AT,2013,1,7,8.084150907228656,-0.32728456424587915,7.1111422042906,7.0,-7.338449333804014
Linus,Metelko,M,AT,1948,0,72,10.648313829976486,-1.1186175463592674,6.4304517331435695,7.0,-47.668986082042764
Tamara,Bosnjakovic,F,AT,1969,1,51,10.616866642611425,0.278348448816543,7.185266783729216,7.0,44.76818760168376
Daniel,Schernthaner,M,AT,1969,0,51,8.699772452688476,0.6429780021472976,7.137844186593622,7.0,19.08020053235023
Kabiri,Amir Mohammad,M,AT,1961,0,59,9.601990391387961,2.0748132713325966,6.9436817956322106,7.0,73.46811169626928
Sven,Kosche,M,AT,1948,0,72,7.464086252410868,-0.24036837186274282,7.315255225356047,7.0,-8.939778753748204
Dieter,Lienhart,M,AT,1948,0,72,5.4725538984265185,0.5731131651226944,6.818809479013325,7.0,9.641598972451112
Patrick,Neuherz,M,AT,1961,0,59,8.565454470211128,2.8574710501721032,7.096228404477722,7.0,90.81808463573253
Dieter,Artner,M,AT,1969,1,51,9.288807132401919,0.36330450650791346,7.643237826940128,7.0,46.49813575490582
Rosa,Bramböck,F,AT,1969,0,51,6.05002048062685,-0.10959778131611823,6.520833576471523,7.0,-4.894656644835372
Andre,Holzer,M,AT,1969,0,51,8.226863853561118,2.3338712172874625,7.063375552939291,7.0,70.76250560815161
Manfred,Windbichler,M,AT,2000,0,20,5.640603254993177,2.035906323367557,6.63923999659777,7.0,41.302805867809596
Su,Ki,F,AT,1969,0,51,6.038133961187295,0.06290587319819817,6.642260327804709,7.0,-0.8910353645719926
Markus,Bauer,M,AT,2013,0,7,6.7940284528548895,-0.5690289477474871,6.880807942660399,7.0,-16.94757630081039
Jocelyne,Bouquet,F,BE,1941,1,79,8.037804194027823,1.7809029797796934,7.1319823419695,7.0,107.51738416515595
Sebastien,Lamy,M,BE,2016,1,4,4.846676638059694,0.23558387620497048,7.34336418782749,7.0,5.02518926504871
Koen,Vanmechelen,M,BE,2016,0,4,7.442945531292281,2.1212557695078904,6.549809483456916,7.0,57.63064548947337
Viorel,Ionescu,M,BE,1959,0,61,8.566647283920831,0.348307969858642,7.305056830416599,7.0,9.213406805669926
Karina,Eugenia,M,BE,2016,0,4,9.426612768337039,-0.5274253203027389,6.599362338275275,7.0,-21.24162951940385
Sylvia,Van Meerbeeck,F,BE,1969,1,51,8.76880419362915,1.2985582724623652,6.897460975610676,7.0,76.71838966844783
Marine,Fohn,F,BE,2005,0,15,4.484978439095491,2.2945937523647038,6.508537764525789,7.0,36.72742592013109
Geert,Geudens,M,BE,1959,0,61,8.344521796244571,2.0301143719426955,6.749455498121509,7.0,62.074083813380284
Liliya,Ibragimova,F,BE,1969,0,51,9.627451888925572,0.41872895172250263,6.324316046691368,7.0,12.876596947876283
Christian,Wetzels,M,BE,2016,1,4,9.33256944796379,3.065759398723422,7.504526480606152,7.0,109.45748150979368
André,Rogiers,M,BE,1941,1,79,7.823190899489415,1.0094937597976403,7.433855964466193,7.0,83.22365543219725
Nicole,Devuyst,F,BE,1969,1,51,9.010730638864137,2.2481083220284663,7.092889721286115,7.0,110.48697867581797
Elene,Osipashvili,F,BE,1941,0,79,6.362118233432558,0.8659566793341409,6.913836339121255,7.0,18.689165634641434
Joke Tjorven,Veekmans-Willems,F,BE,1941,1,79,11.145028189739858,2.19360940126776,7.091361324867439,7.0,146.01131685731988
Silja,Bollaerts,F,BE,1969,1,51,10.960542634075576,0.7337544254417638,7.262133940822889,7.0,64.12279949654355
Laurent,Vanderstokken,M,BE,1969,0,51,11.069483935067785,-1.5540969127496977,6.4642133077813,7.0,-67.76577417099293
Rebecca,De Blezer,F,BE,1969,1,51,8.679530838349876,-0.5843656257663901,6.68411068495054,7.0,14.105738989721722
Hilde,De Bock,F,BE,1941,1,79,7.755746628192878,0.5309854448718819,6.898659023616974,7.0,68.69803608628908
Kris,Vanhoorebeek,M,BE,1969,1,51,6.6572073482896075,0.5351057014340596,7.42063725317913,7.0,47.14615936992675
Ergün,Albayrak,F,BE,1969,0,51,4.729752144346828,1.13958465118289,7.322369912526563,7.0,18.361876075925174
Rene,Halleux,M,BE,1969,0,51,8.405117565710574,1.307580395931469,6.899396060139737,7.0,39.51254896336928
Liesbet,Moerman,F,BE,1959,0,61,6.738854760597266,1.4198653102529442,7.0220588280836935,7.0,34.14733540240401
Elaura,Perin,F,BE,2005,0,15,7.595053486341184,2.6942112176500492,6.947068279451131,7.0,75.52248097452986
Hamza,Mouatassim,M,BE,2016,1,4,8.676776831512468,1.952311660239361,7.268542457935991,7.0,65.03495853483788
Pacifique,Ingabire,F,BE,2005,1,15,7.964959481277804,-0.5809734203871283,7.020715098336494,7.0,-9.296729888553617
Gwenny,Benoot,F,BE,1941,0,79,10.661492284327839,3.8728821492018053,7.1095678466617995,7.0,154.71984319093593
Brecht,Gyselinck,M,BE,1969,1,51,7.413716883957705,0.15012691120077404,7.1019470630249915,7.0,37.742205739459045
Xavier,Dumarey,M,BE,1959,1,61,8.950781094489965,1.7274907398360868,6.894178416831044,7.0,99.20457769422603
Cécile,Thiry,F,BE,2016,0,4,10.606868584125666,-0.08539741789852968,6.708740657299032,7.0,-5.754532164312726
Michael,Van Den Abeele,M,BE,1941,1,79,8.617672679985501,0.6732775920596072,7.049703322908818,7.0,75.14449463730628
Niels,Jacobs,M,BE,1969,1,51,5.150317798508033,-0.23631758731028235,7.533423853421461,7.0,29.01754862475988
Carine,Marlow,F,BE,1969,1,51,8.797166730024378,2.2543421538523134,6.743924439589098,7.0,108.75994285344588
Jo,Caeyers,M,BE,1959,0,61,4.647271257283557,0.5706211476434141,7.0852882954708285,7.0,7.8846040205278065
Marie-Florence,Doumont,F,BE,1969,1,51,11.976797674897488,1.6975970510460319,7.208437553682281,7.0,110.80630526193876
Ingrid,Joris,F,BE,1969,0,51,9.511150892035525,2.535441210943646,6.688945300580248,7.0,89.31786661253314
Kim,Verschueren,M,BE,1969,1,51,5.532734284381899,2.27451712997446,6.920524038037513,7.0,81.27621712917514
Laurent,Franquet,M,BE,1969,1,51,11.21415300065288,1.2104064858392556,6.882985358218956,7.0,85.0239128432857
Alex,Stincheddu,M,BE,1969,0,51,8.064715510027845,2.5483889207875148,7.2635953851986725,7.0,75.96004515363684
Bacci,Du Hasard,F,BE,1969,0,51,4.439252064701394,1.9980115147673523,6.898636983412845,7.0,31.453684098065835
Alizée,Darville,F,BE,2016,0,4,9.34215282437168,0.5930652985660582,7.177564960398108,7.0,18.890037689107604
Benny,Von Mauw,M,BE,1969,1,51,10.807147541985303,1.9778382796188654,6.842507326933523,7.0,114.65514169971004
Joseph,Van Der Veer,M,BE,1969,1,51,8.516818684175213,2.572903339993841,6.724251913951191,7.0,116.66180020224431
Paolino,Blazquez,M,BE,2005,1,15,10.050718677121074,0.5798556227157683,6.858419132888739,7.0,30.382319131375596
Bersani,Zumsoy,M,BE,1969,0,51,5.286358401019556,1.4498320580141826,7.170258967655224,7.0,26.958333042612722
Olivier,Konczerewicz,M,BE,1941,1,79,9.715576715469934,0.9120407587978552,7.002352351348061,7.0,86.75354896114717
Marleen,Geyskens,F,BE,1969,1,51,6.774191136602027,2.3694073970106126,6.772874228546168,7.0,94.40154684490652
Marleen Malena,De Ridder - Hermans,F,BE,2016,1,4,7.4422671926718404,1.980622018289632,6.722985893235072,7.0,56.50538066508258
Maria,Mantas,F,BE,1941,0,79,7.42318736553566,2.675275491607491,6.851476006691974,7.0,73.1982916986688
Kwasi,Boateng,M,BE,1969,1,51,6.5994901035676286,2.5694669700683916,7.1847765804535255,7.0,97.97557472585984
Xavier,Loly,M,BE,1969,1,51,7.7852722234152365,1.9268651501449667,7.048778319698398,7.0,90.50072447083214
Marie,Lefevre,F,BE,1959,0,61,9.159218771055361,1.1404609608256933,6.64476044973149,7.0,37.3602024841819
Kaat,Vanderheyden,F,BE,1969,1,51,6.6670936045159905,-0.8135838569572711,6.778721132264438,7.0,12.798223641384169
Lauranne,Daelemans,F,BE,1969,0,51,9.855451399332134,1.7529077178170804,6.976171815061956,7.0,63.42114861241303
Kevin,Van Poecke,M,BE,2016,0,4,8.928999548299872,0.369956594388108,6.998170510090448,7.0,10.333127874119619
Sabah,Louho,M,BE,1959,0,61,8.811969968001817,3.4506342369919247,7.281285592095032,7.0,113.41384038000574
Selin,Kaygisiz,F,BE,1941,0,79,7.887239818689505,2.217466159368381,6.772473967552384,7.0,64.16911826978578
Jack,Vranken,M,BE,1969,1,51,7.200530708836521,0.2962203906698242,7.207912063390282,7.0,41.650581779297966
Ali,Boukanfouhte,M,BE,1969,0,51,7.5035611927388945,0.927271409643834,7.27476933756865,7.0,24.3054901392844
Mohsin,Barça,M,BE,1969,1,51,6.956482683471492,0.9357427089669352,6.757165567473618,7.0,58.139343930452526
Gertrude,Gertrude,F,BE,2016,1,4,8.622112803253762,1.974844761777992,6.749601271685592,7.0,65.20473390987792
Ingrid,Chenut,F,BE,2016,1,4,8.526425750205835,0.986499538537008,7.044102333049322,7.0,32.5578168382837
Bernard,Vranckx,M,BE,2005,0,15,7.112711647747646,0.9462677108678831,6.8984389677050215,7.0,23.324860930889898
Morad,Bosata,M,BE,1969,0,51,4.1356243359760105,0.7593734920917226,7.07442770739623,7.0,9.738107689016488
Lander,Vanroye,M,BE,1969,1,51,9.666648546470375,1.9710906769176708,7.148804254034438,7.0,105.93187437470145
Eline,De Brabandere,F,BE,2016,1,4,5.783540600655631,-1.0265436950353446,6.726039379006895,7.0,-22.06764689692062
Brecht,Dewulf,M,BE,1969,0,51,9.41547962359507,1.687662964465561,7.160112229054516,7.0,58.213350204658916
Bharat,Kc,M,BE,1941,1,79,5.340258222109194,2.603555999801073,7.45928494909106,7.0,106.05472409995112
Essers,Naomy,F,BE,2005,0,15,7.069858370323272,0.863907626528607,7.3542756305796155,7.0,21.098897443062054
Anita,Vossen,F,BE,1969,0,51,10.344488326444967,0.5856699988174477,6.797228855466622,7.0,20.73846758779044
Fatima,Ha,F,BE,1941,1,79,8.666759146042534,1.5157815491472966,6.5249718750063055,7.0,102.84667231128677
Gerdy,Bollaert,M,BE,2016,1,4,8.043531677744573,-0.2742707025675361,7.248263692094333,7.0,-7.725523031876429
Patricia,Vandenbosch,F,BE,1969,0,51,8.509498296986516,0.8983411568266952,7.186995005949268,7.0,26.88784458364191
Felix,Malkhasyan,M,BE,1941,1,79,9.725127612337666,-0.3481586264946531,6.782275250701578,7.0,40.14511690879653
Adem,Kombov,M,BE,1941,0,79,7.520545576188598,1.7338295130078394,6.77588484921359,7.0,47.2589206401149
Bertrand,Herbin,M,BE,2005,0,15,4.00036665599853,2.07242211590944,6.467360847794702,7.0,29.110593514945855
Manu,Lebrun,M,BE,1969,0,51,7.956358375304973,2.457842468204512,6.947461542431888,7.0,72.07523489066399
Julia,Salachina,F,BG,1960,0,60,7.561743003846044,-0.7389086580245529,7.121152175171004,7.0,-23.413509049821457
Мустафа,Уланов,M,BG,1960,0,60,8.21263346822297,1.325301105678202,6.620729772653635,7.0,39.01845874382488
Елка,Чомаково,F,BG,1989,1,31,9.465931522299778,-0.02129484612493134,6.7990578502270305,7.0,18.650937802773846
Eva,Mandić,F,HR,1984,0,36,8.662272588108271,-0.2567510371171927,7.221205697142469,7.0,-10.601932136337755
Maria,Kovačević,F,HR,1958,1,62,7.3493118056256455,-1.7516109404882354,7.06207892584148,7.0,-7.717486020548478
Dario,Ban,M,HR,1984,1,36,9.094681212799042,1.7854032565332048,6.602696418838955,7.0,84.55561097755648
Marina,Jedvaj Balta,F,HR,1984,0,36,7.357126250229455,1.6653714087824059,6.947257919876382,7.0,44.323284773358075
Andrea,Perković,F,HR,1984,1,36,8.35016590754205,-0.5677394001301039,6.7100060936971735,7.0,4.8731905934243755
Elvis,Ljutić,M,HR,1951,0,69,7.64640809268794,0.5693371992562232,7.195585322865238,7.0,14.38449027227918
Brlas,Tomislav,M,HR,2010,0,10,7.125348358689688,0.43224216043913455,6.9125969834987275,7.0,9.456888553285307
Dubravko,Lisica,M,HR,1958,0,62,5.485785659000298,1.5211671555720925,6.62454344546673,7.0,29.369947676855467
Duba,Duba,F,HR,1984,1,36,8.814110822482752,1.6051579934592324,6.3357200308195205,7.0,76.52420130564398
Marina,Mišura,F,HR,1958,0,62,8.540429682375493,2.95511757486395,7.062711434881105,7.0,93.7049245090095
Šimica,Marić,F,HR,1984,0,36,6.777649043182551,-0.3753601936925405,7.075448797662995,7.0,-11.862838772195051
Dragica,Krivan,F,HR,1958,0,62,7.713637734116713,1.6619407980157037,7.072715063112811,7.0,46.518252906076135
Luka,Gerić,M,HR,2010,1,10,6.792593892090229,0.11493351403782212,7.1069012966015706,7.0,7.780993320927513
Zlatko,Jukić,M,HR,2010,0,10,6.609940783567155,0.361112567285769,7.072095071826854,7.0,6.873889097701908
Matea,Žalac,F,HR,1984,1,36,6.217219894540953,1.3044639480064752,6.970770749292321,7.0,53.79032575433945
Tatjana,Halavuk,F,HR,1984,0,36,7.439009336305308,0.7649531528455298,7.010672303247723,7.0,19.4082297803172
Irma,Sekelez,F,HR,1984,0,36,5.7577922512761175,0.035437612735900084,7.09398132151149,7.0,-1.414296042975236
Lovro,Šajnić,M,HR,1958,0,62,7.289305868323882,1.7996677573218838,6.979649866008037,7.0,47.62424648573956
Nina,Kruljac,F,HR,1984,1,36,9.03306854267261,2.2385121831574804,7.074478465218677,7.0,99.84269533589033
Dragan,Rukavina,M,HR,2005,0,15,7.7114286016627736,2.5312972257416835,7.000936846366899,7.0,71.95698448404737
Rene,Sertic,M,HR,1984,1,36,8.706194227297386,1.9199591518500638,6.744482138466859,7.0,86.41823604218742
Ivana,Koc,F,HR,1984,0,36,8.12295500320014,0.8040587063016416,7.0559714226732035,7.0,22.617587617601878
Marija,Markovic,F,HR,1958,0,62,4.34468167686314,-0.516159288706651,6.894160389407226,7.0,-10.774197242777117
Yiota,Xatzigeorgiou,F,CY,1999,1,21,8.093924966826899,0.2444075988236255,7.036182161515183,7.0,20.009568287787154
Novia,Hadjipetrou,F,CY,1985,0,35,7.218269694718967,-1.3608153923486777,6.660108206964123,7.0,-39.65488491568384
Obaida,Mohamad,F,CY,2019,1,1,7.022554603695546,0.8432535439627007,6.997190512006603,7.0,20.98293658624251
Rika,Demetriou,F,CY,1985,0,35,6.720002937003349,0.5226894465401936,7.157170240048275,7.0,11.17725584734755
Demos,Metaxas,M,CY,1985,0,35,6.32125374348152,0.5269459084494031,7.066014736038227,7.0,10.459296022036522
Yianna,Karaoghlanian,F,CY,1937,0,83,6.937875776282373,0.9825201191589582,6.986131644611719,7.0,23.679729009397725
Ανδρέας,Αγρότης,M,CY,1937,0,83,6.501843050981229,1.9004271081652104,6.829118261169536,7.0,44.68048963916882
Melina,Pericleous,F,CY,1999,1,21,8.961618144424468,-0.7250469227941136,7.351359840434268,7.0,-12.102108225193913
Dáša,Filipovská,F,CZ,1943,0,77,8.430954436400734,0.3254266947833437,7.018266527815953,7.0,8.2126347764133
Klára,Brdková,F,CZ,1943,1,77,3.94170142672866,0.09423185786193743,7.27148597743929,7.0,53.17616209684897
Ivuška,Ivanka,F,CZ,1962,0,58,7.233650881472218,2.1202442231225156,7.614803756114698,7.0,56.24721194909267
Marek,Houdek,M,CZ,1977,1,43,10.559181756437289,-0.8930677258069584,6.828268805089382,7.0,-8.007888284024123
Petr,Čermák,M,CZ,2017,0,3,9.501144921201046,2.1753034559880584,6.356390900795575,7.0,76.10673250041722
Brigit,Bushxhokaj,F,CZ,1962,1,58,8.641363830783682,1.543905515542407,6.964353713895348,7.0,89.0672778518435
Roman,Mejsnar,M,CZ,1962,0,58,7.732874741118518,1.2721490381869902,6.5050994405970535,7.0,35.00169290148298
Mariya,Voloshyn,F,CZ,1977,1,43,10.557891983872368,2.3198745541599344,7.414238998026182,7.0,121.08082799258301
Pavel,Míšek,M,CZ,1977,0,43,7.9308742595284905,1.1658542493734474,6.995014830222615,7.0,32.91516013763973
Hanka,Plačková,F,CZ,1977,0,43,6.51105266388382,1.1525134243175017,7.116948298649778,7.0,26.33294113831387
Alexandra,Čábelková,F,CZ,1977,0,43,10.938814833455385,-0.3833130810615914,6.646526988416796,7.0,-18.266357290602812
Filip,Kozár,M,CZ,2017,0,3,12.143148864516581,-0.07991267455474334,7.130952415628978,7.0,-5.865709143366754
Ivana,Brtevníková,F,CZ,2017,0,3,8.599239000177114,1.7884343985148097,6.894267991246582,7.0,56.1883830990705
Tomáš,Bezouška,M,CZ,1943,1,77,5.61197777907493,0.6947657518879963,6.958297354622777,7.0,66.48409443799642
Petr,Halousek,M,CZ,1962,1,58,6.369395226319785,-0.20594899489161417,6.539465269960996,7.0,33.24655380734511
Alla,Vesela,F,CZ,1962,1,58,12.316409511369928,1.5301230491450504,7.0249031166485265,7.0,110.00217902159517
Monika,Filáková,F,CZ,1977,0,43,8.327291670300792,2.5622480278335074,6.936278177311568,7.0,78.83991306475336
Denča,Klubalová,F,CZ,1943,0,77,7.920199953151139,0.9223111425619137,6.685868586102145,7.0,25.438568430800228
Angel,Samkova,F,CZ,1977,1,43,8.161593096878656,-0.3646698207881705,7.174211255167341,7.0,16.625194787679185
Jiřina,Šulcová,F,CZ,1943,1,77,8.278456335112615,-0.2484904508004567,7.446743156849212,7.0,44.0000629913929
Jana,Řehořová,F,CZ,1977,1,43,7.103769751470142,-1.5487575719937297,6.812646524592251,7.0,-13.986347861198503
David,Převrátil,M,CZ,1977,0,43,6.69115483142557,-0.13761801410553756,7.169627478675491,7.0,-5.665450936942719
Miroslav,Provazník,M,CZ,2017,1,3,9.61977667925105,0.6297204522927743,6.380911799803558,7.0,22.69681066681609
Eva,Martincová,F,CZ,1977,0,43,7.8990698351365465,-0.5596697310827038,7.0579019928863325,7.0,-19.000181857420422
Jitka,Matouchova,F,CZ,1998,1,22,5.677148118391519,1.091474068899658,7.04674839916939,7.0,36.74219367379977
Kačka,Fuková,F,CZ,1962,1,58,4.676897200755609,0.5972828511077393,6.978016893450054,7.0,48.98911835892429
Hùng,Trần,M,CZ,1977,1,43,8.48139029753608,-0.11095013270293781,7.3331238060363955,7.0,24.40744026296662
Mária,Klailová,F,CZ,1977,1,43,10.109166023561473,-0.984874545410418,7.204840831537181,7.0,-9.889332206148403
Hugo,Crispim,M,CZ,1977,1,43,6.5318927230066235,0.16743641355278086,7.41151523818745,7.0,32.16264821553244
Pepíno,Ondo,M,CZ,1977,0,43,5.350380147434476,2.2656351063010054,6.71741538867059,7.0,43.753982182212745
Simon,Simon,M,CZ,1977,1,43,9.819255825731108,-0.20810167725574974,6.779565413654788,7.0,20.04567489795306
Barbora,Bábková Navrátilová,F,CZ,1998,1,22,7.118207654271533,1.0999587361646763,7.123276838174206,7.0,42.97240111075944
Petroz,Barch,F,CZ,1998,1,22,8.630745233805914,1.1865063997415775,6.845915334284938,7.0,52.04568570718246
Niki,Bartizalová,F,CZ,1977,0,43,6.240631609643226,1.3452212696092445,7.02521072724342,7.0,29.690026898301006
Olga,Pacinova,F,CZ,1977,1,43,9.035611374060835,1.016840140009383,6.956226513178418,7.0,62.78073662302925
Jan,Psota,M,CZ,2017,0,3,7.301510758252271,2.8448683716711183,7.395291753143382,7.0,76.83483648787245
Mirka,Štorová,F,CZ,1943,0,77,8.656603808771898,-1.3925596374017237,7.124761563989145,7.0,-47.98851305811909
Katerina,Rockova,F,CZ,1943,0,77,9.323031126122794,-0.179483889432862,6.936419934443328,7.0,-8.597740053697013
Josef,Landa,M,CZ,1943,0,77,9.217790603103918,-0.17998229873262908,6.924303249253107,7.0,-8.547266386526651
Yura,Durdil,M,CZ,1943,0,77,5.074081017583956,2.6866850561247775,7.547431591331698,7.0,49.749995146707725
Vitalii,Sierov,M,CZ,1977,0,43,9.300748711299276,0.3456461028062762,6.848979300974025,7.0,9.949135866747797
Dana,Machačná,F,CZ,1977,1,43,9.134748465537587,0.14858282385009325,6.831283699336834,7.0,32.984941277544124
Hana,Hlaváčová,F,CZ,1962,0,58,8.50273832273112,1.4959713018943694,6.906353337791543,7.0,46.08681144502554
Leona,Leona,F,CZ,1977,0,43,8.05124204731976,1.6797065108051221,6.818814146323422,7.0,49.11345828179032
Filip,Kumsta,M,CZ,2017,1,3,7.3894486839908735,-0.281602314626166,7.063745148276052,7.0,-8.006420394998138
Jana,Helanova,F,CZ,1962,0,58,3.5805272819045153,0.43246808729636754,6.935590333585999,7.0,3.64482796613449
